doctors,pharmacists,dentist,nurses,lab_scientists,midwifes,nurse_midwife,beds,state,ownership,registration_status,operational_days,ambulance_services
1,0,0,1,0,1,2,14,Abia,Private,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,2,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,6,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,1,6,Abia,Public,Registered,All Day of The Week,0
1,0,0,0,0,1,0,6,Abia,Private,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,1,0,0,0,6,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
1,1,0,1,1,1,2,9,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
1,0,0,1,0,1,0,8,Abia,Private,Registered,All Day of The Week,0
0,0,0,0,0,0,1,6,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,1,0,1,7,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,9,Abia,Public,Registered,All Day of The Week,0
0,0,0,1,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,1,0,2,1,4,Abia,Private,Registered,All Day of The Week,0
0,0,0,0,0,0,0,7,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,1,0,0,2,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,1,12,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,10,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,1,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,7,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,10,Abia,Public,Registered,All Day of The Week,0
5,2,0,0,2,2,6,20,Abia,Private,Registered,All Day of The Week,0
3,4,1,2,5,5,13,35,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,1,0,0,10,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,8,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,7,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,1,7,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,9,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,2,Abia,Public,Registered,All Day of The Week,0
7,4,0,4,3,2,5,16,Abia,Private,Registered,All Day of The Week,1
0,0,0,0,0,0,0,8,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,9,Abia,Public,Registered,All Day of The Week,0
